ExternalReferenceNumber,PaymentDistributionReference,SendingAccount,ReceivingAccount,CreateDateTime,EffectiveDate,ReceiveDateTime,Amount
TRNGRP201,abcdef-trans-group2-201,7040610000005,7040610000004,25/06/2023,25/06/2023,25/06/2023,100
TRNGRP202,abcdef-trans-group2-202,7040610000005,7040610000004,25/07/2023,25/07/2023,25/07/2023,100
TRNGRP203,abcdef-trans-group2-203,7040610000005,7040610000004,25/08/2023,25/08/2023,25/08/2023,100
TRNGRP204,abcdef-trans-group2-204,7040610000005,7040610000004,25/09/2023,25/09/2023,25/09/2023,100
TRNGRP205,abcdef-trans-group2-205,7040610000005,7040610000004,25/10/2023,25/10/2023,25/10/2023,100
TRNGRP206,abcdef-trans-group2-206,7040610000005,7040610000004,25/11/2023,25/11/2023,25/11/2023,100
TRNGRP207,abcdef-trans-group2-207,7040610000005,7040610000004,25/12/2023,25/12/2023,25/12/2023,100
TRNGRP208,abcdef-trans-group2-208,7040610000005,7040610000004,25/01/2024,25/01/2024,25/01/2024,100
TRNGRP209,abcdef-trans-group2-209,7040610000005,7040610000004,25/02/2024,25/02/2024,25/02/2024,100
TRNGRP210,abcdef-trans-group2-210,7040610000005,7040610000004,25/03/2024,25/03/2024,25/03/2024,100
TRNGRP211,abcdef-trans-group2-211,7040610000005,7040610000004,25/04/2024,25/04/2024,25/04/2024,100
TRNGRP212,abcdef-trans-group2-212,7040610000005,7040610000004,25/05/2024,25/05/2024,25/05/2024,100
TRNGRP213,abcdef-trans-group2-213,7040610000005,7040610000004,25/06/2024,25/06/2024,25/06/2024,100
TRNGRP214,abcdef-trans-group2-214,7040610000005,7040610000004,25/07/2024,25/07/2024,25/07/2024,100
TRNGRP215,abcdef-trans-group2-215,7040610000006,7040610000004,25/06/2023,25/06/2023,25/06/2023,100
TRNGRP216,abcdef-trans-group2-216,7040610000006,7040610000004,25/07/2023,25/07/2023,25/07/2023,100
TRNGRP217,abcdef-trans-group2-217,7040610000006,7040610000004,25/08/2023,25/08/2023,25/08/2023,100
TRNGRP218,abcdef-trans-group2-218,7040610000006,7040610000004,25/09/2023,25/09/2023,25/09/2023,100
TRNGRP219,abcdef-trans-group2-219,7040610000006,7040610000004,25/10/2023,25/10/2023,25/10/2023,100
TRNGRP220,abcdef-trans-group2-220,7040610000006,7040610000004,25/11/2023,25/11/2023,25/11/2023,100
TRNGRP221,abcdef-trans-group2-221,7040610000006,7040610000004,25/12/2023,25/12/2023,25/12/2023,100
